data_pozyskania,zestawienie_zrodel_ciepla,liczba_budynkow,udzial_procentowy
2026-05-27,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1583623,25.15
2026-05-27,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1058852,16.82
2026-05-27,DANE DO WERYFIKACJI,84086,1.34
2026-05-27,Dane do weryfikacji,84086,1.34
2026-05-27,kocioł automatyczny kl. 5 lub ekoprojekt,463978,7.37
2026-05-27,kocioł gazowy,1204455,19.13
2026-05-27,kocioł kl. 3 lub kl. 4,781149,12.41
2026-05-27,kocioł olejowy,32652,0.52
2026-05-27,kocioł pozaklasowy,1136666,18.05
2026-05-27,kocioł zasypowy kl. 5 lub ekoprojekt,145014,2.3
2026-05-27,miejska sieć ciepłownicza,40120,0.64
2026-05-27,mix źródeł bezemisyjnych,2438,0.04
2026-05-27,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24686,0.39
2026-05-27,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309313,4.91
2026-05-27,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84798,1.35
2026-05-27,mix źródeł na paliwa stałe 3 (pozostałe przypadki),102179,1.62
2026-05-27,mix źródeł niskoemisyjnych,984,0.02
2026-05-27,ogrzewacz na paliwo stałe,547039,8.69
2026-05-27,ogrzewanie elektryczne,58292,0.93
2026-05-27,pompa ciepła,219996,3.49
2026-05-27,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33295,0.53
2026-05-27,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208756,3.32
2026-05-27,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66310,1.05
2026-05-27,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750491,11.92
2026-05-28,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570093,56.7
2026-05-28,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1583774,25.15
2026-05-28,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1058941,16.82
2026-05-28,DANE DO WERYFIKACJI,84116,1.34
2026-05-28,Dane do weryfikacji,84116,1.34
2026-05-28,kocioł automatyczny kl. 5 lub ekoprojekt,464046,7.37
2026-05-28,kocioł gazowy,1204564,19.13
2026-05-28,kocioł kl. 3 lub kl. 4,781103,12.4
2026-05-28,kocioł olejowy,32648,0.52
2026-05-28,kocioł pozaklasowy,1136581,18.05
2026-05-28,kocioł zasypowy kl. 5 lub ekoprojekt,145035,2.3
2026-05-28,miejska sieć ciepłownicza,40120,0.64
2026-05-28,mix źródeł bezemisyjnych,2439,0.04
2026-05-28,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24691,0.39
2026-05-28,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309292,4.91
2026-05-28,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84808,1.35
2026-05-28,mix źródeł na paliwa stałe 3 (pozostałe przypadki),102172,1.62
2026-05-28,mix źródeł niskoemisyjnych,984,0.02
2026-05-28,ogrzewacz na paliwo stałe,547056,8.69
2026-05-28,ogrzewanie elektryczne,58292,0.93
2026-05-28,pompa ciepła,220036,3.49
2026-05-28,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33305,0.53
2026-05-28,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208766,3.32
2026-05-28,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66308,1.05
2026-05-28,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750562,11.92
2026-05-29,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570050,56.69
2026-05-29,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1583929,25.15
2026-05-29,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1059070,16.82
2026-05-29,DANE DO WERYFIKACJI,84132,1.34
2026-05-29,Dane do weryfikacji,84132,1.34
2026-05-29,kocioł automatyczny kl. 5 lub ekoprojekt,464145,7.37
2026-05-29,kocioł gazowy,1204667,19.13
2026-05-29,kocioł kl. 3 lub kl. 4,781030,12.4
2026-05-29,kocioł olejowy,32646,0.52
2026-05-29,kocioł pozaklasowy,1136492,18.05
2026-05-29,kocioł zasypowy kl. 5 lub ekoprojekt,145058,2.3
2026-05-29,miejska sieć ciepłownicza,40124,0.64
2026-05-29,mix źródeł bezemisyjnych,2438,0.04
2026-05-29,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24696,0.39
2026-05-29,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309271,4.91
2026-05-29,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84811,1.35
2026-05-29,mix źródeł na paliwa stałe 3 (pozostałe przypadki),102170,1.62
2026-05-29,mix źródeł niskoemisyjnych,984,0.02
2026-05-29,ogrzewacz na paliwo stałe,547073,8.69
2026-05-29,ogrzewanie elektryczne,58306,0.93
2026-05-29,pompa ciepła,220068,3.49
2026-05-29,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33312,0.53
2026-05-29,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208780,3.32
2026-05-29,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66315,1.05
2026-05-29,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750663,11.92
2026-05-30,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570030,56.69
2026-05-30,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1584054,25.15
2026-05-30,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1059157,16.82
2026-05-30,DANE DO WERYFIKACJI,84150,1.34
2026-05-30,Dane do weryfikacji,84150,1.34
2026-05-30,kocioł automatyczny kl. 5 lub ekoprojekt,464221,7.37
2026-05-30,kocioł gazowy,1204736,19.13
2026-05-30,kocioł kl. 3 lub kl. 4,780976,12.4
2026-05-30,kocioł olejowy,32644,0.52
2026-05-30,kocioł pozaklasowy,1136433,18.05
2026-05-30,kocioł zasypowy kl. 5 lub ekoprojekt,145075,2.3
2026-05-30,miejska sieć ciepłownicza,40126,0.64
2026-05-30,mix źródeł bezemisyjnych,2440,0.04
2026-05-30,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24700,0.39
2026-05-30,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309251,4.91
2026-05-30,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84827,1.35
2026-05-30,mix źródeł na paliwa stałe 3 (pozostałe przypadki),102162,1.62
2026-05-30,mix źródeł niskoemisyjnych,984,0.02
2026-05-30,ogrzewacz na paliwo stałe,547085,8.69
2026-05-30,ogrzewanie elektryczne,58308,0.93
2026-05-30,pompa ciepła,220116,3.5
2026-05-30,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33323,0.53
2026-05-30,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208787,3.32
2026-05-30,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66319,1.05
2026-05-30,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750728,11.92
2026-06-01,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570035,56.69
2026-06-01,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1584104,25.15
2026-06-01,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1059203,16.82
2026-06-01,DANE DO WERYFIKACJI,84189,1.34
2026-06-01,Dane do weryfikacji,84189,1.34
2026-06-01,kocioł automatyczny kl. 5 lub ekoprojekt,464249,7.37
2026-06-01,kocioł gazowy,1204762,19.13
2026-06-01,kocioł kl. 3 lub kl. 4,780957,12.4
2026-06-01,kocioł olejowy,32643,0.52
2026-06-01,kocioł pozaklasowy,1136409,18.05
2026-06-01,kocioł zasypowy kl. 5 lub ekoprojekt,145081,2.3
2026-06-01,miejska sieć ciepłownicza,40125,0.64
2026-06-01,mix źródeł bezemisyjnych,2440,0.04
2026-06-01,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24702,0.39
2026-06-01,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309253,4.91
2026-06-01,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84830,1.35
2026-06-01,mix źródeł na paliwa stałe 3 (pozostałe przypadki),102160,1.62
2026-06-01,mix źródeł niskoemisyjnych,984,0.02
2026-06-01,ogrzewacz na paliwo stałe,547096,8.69
2026-06-01,ogrzewanie elektryczne,58311,0.93
2026-06-01,pompa ciepła,220137,3.5
2026-06-01,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33325,0.53
2026-06-01,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208796,3.32
2026-06-01,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66318,1.05
2026-06-01,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750764,11.92
2026-06-02,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569977,56.69
2026-06-02,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1584284,25.16
2026-06-02,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1059326,16.82
2026-06-02,DANE DO WERYFIKACJI,84216,1.34
2026-06-02,Dane do weryfikacji,84216,1.34
2026-06-02,kocioł automatyczny kl. 5 lub ekoprojekt,464333,7.37
2026-06-02,kocioł gazowy,1204867,19.13
2026-06-02,kocioł kl. 3 lub kl. 4,780915,12.4
2026-06-02,kocioł olejowy,32645,0.52
2026-06-02,kocioł pozaklasowy,1136310,18.04
2026-06-02,kocioł zasypowy kl. 5 lub ekoprojekt,145110,2.3
2026-06-02,miejska sieć ciepłownicza,40129,0.64
2026-06-02,mix źródeł bezemisyjnych,2444,0.04
2026-06-02,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24712,0.39
2026-06-02,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309218,4.91
2026-06-02,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84842,1.35
2026-06-02,mix źródeł na paliwa stałe 3 (pozostałe przypadki),102146,1.62
2026-06-02,mix źródeł niskoemisyjnych,984,0.02
2026-06-02,ogrzewacz na paliwo stałe,547103,8.69
2026-06-02,ogrzewanie elektryczne,58318,0.93
2026-06-02,pompa ciepła,220185,3.5
2026-06-02,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33336,0.53
2026-06-02,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208792,3.32
2026-06-02,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66319,1.05
2026-06-02,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750879,11.92
2026-06-12,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569282,56.69
2026-06-12,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1588543,25.23
2026-06-12,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1055671,16.77
2026-06-12,DANE DO WERYFIKACJI,82778,1.31
2026-06-12,Dane do weryfikacji,82778,1.31
2026-06-12,kocioł automatyczny kl. 5 lub ekoprojekt,463721,7.37
2026-06-12,kocioł gazowy,1206504,19.16
2026-06-12,kocioł kl. 3 lub kl. 4,776891,12.34
2026-06-12,kocioł olejowy,32659,0.52
2026-06-12,kocioł pozaklasowy,1137856,18.07
2026-06-12,kocioł zasypowy kl. 5 lub ekoprojekt,143577,2.28
2026-06-12,miejska sieć ciepłownicza,40144,0.64
2026-06-12,mix źródeł bezemisyjnych,2445,0.04
2026-06-12,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24684,0.39
2026-06-12,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),308786,4.9
2026-06-12,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),88499,1.41
2026-06-12,mix źródeł na paliwa stałe 3 (pozostałe przypadki),6702,0.11
2026-06-12,mix źródeł niskoemisyjnych,973,0.02
2026-06-12,ogrzewacz na paliwo stałe,643250,10.22
2026-06-12,ogrzewanie elektryczne,58515,0.93
2026-06-12,pompa ciepła,222619,3.54
2026-06-12,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33134,0.53
2026-06-12,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,206082,3.27
2026-06-12,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,65477,1.04
2026-06-12,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750978,11.93
2026-06-16,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569227,56.68
2026-06-16,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1588885,25.23
2026-06-16,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1055941,16.77
2026-06-16,DANE DO WERYFIKACJI,82822,1.32
2026-06-16,Dane do weryfikacji,82822,1.32
2026-06-16,kocioł automatyczny kl. 5 lub ekoprojekt,463936,7.37
2026-06-16,kocioł gazowy,1206714,19.16
2026-06-16,kocioł kl. 3 lub kl. 4,776770,12.34
2026-06-16,kocioł olejowy,32655,0.52
2026-06-16,kocioł pozaklasowy,1137669,18.07
2026-06-16,kocioł zasypowy kl. 5 lub ekoprojekt,143638,2.28
2026-06-16,miejska sieć ciepłownicza,40150,0.64
2026-06-16,mix źródeł bezemisyjnych,2447,0.04
2026-06-16,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24692,0.39
2026-06-16,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),308728,4.9
2026-06-16,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),88521,1.41
2026-06-16,mix źródeł na paliwa stałe 3 (pozostałe przypadki),6702,0.11
2026-06-16,mix źródeł niskoemisyjnych,973,0.02
2026-06-16,ogrzewacz na paliwo stałe,643263,10.22
2026-06-16,ogrzewanie elektryczne,58519,0.93
2026-06-16,pompa ciepła,222735,3.54
2026-06-16,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33161,0.53
2026-06-16,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,206088,3.27
2026-06-16,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,65487,1.04
2026-06-16,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,751205,11.93
